arbitro_principal	arbitro_principal_quadro_fifa	aux1_quadro_fifa	aux2_quadro_fifa	auxiliares	cidade	clubem	clubev	estado_m	estado_v	clássico	data	estadio	hora	ingressos_disponiveis	porcentagem_ingresso_vendido	observacoes	Publico_pagante	placar_mandante	placar_visitante	quarto_arbitro	quarto_arbitro_quadro_fifa	renda_bruta	renda_liq	ano	rodada	vitoria_mandante	empate_mandante	derrota_mandante	vitoria_visitante	empate_vvisitante	derrota_visitante	mandante_posicao_final_rodada	Visitante_posicao_final_rodada	mandante_posicao_inicio_rodada	Visitante_posicao_inicio_rodada	final de semana
Dewson Fernando Freitas da Silva-PA	S	N	N	Pablo Almeida Costa-MG_e_Hélcio Araújo Neves-PA	Goiânia	Goiás-GO	Ponte Preta-SP	GO	SP	0	16/09	Serra Dourada	19h30	2325	99.9		2322	1	2	Cleisson Veloso Pereira-MG	N	47525	17374.21	2015	26	0	0	1	1	0	0	13	11	12	14	0
Ricardo Marques Ribeiro-MG	S	N	N	Márcio Eustáquio Santiago-MG_e_Marcus Vinicius Gomes-MG	Joinville	Joinville-SC	Sport-PE	SC	PE	0	16/09	Arena Joinville	19h30	9512	100		9512	1	1	Emerson de Almeida Ferreira-MG	N	117340	56725.29	2015	26	0	1	0	0	1	0	18	8	18	9	0
Flávio Rodrigues de Souza-SP	N	S	N	Neuza Inês Back-SC_e_Thiago Americano Labes-SC	Florianópolis	Figueirense-SC	Avaí-SC	SC	SC	1	16/09	Orlando Scarpelli	21h00	9618	100		9618	0	1	Célio Amorim-SC	N	195160	149795.07	2015	26	0	0	1	1	0	0	18	17	16	18	0
Bráulio da Silva Machado-SC	N	N	N	Helton Nunes-SC_e_Rosnei Hoffmann Scherer-SC	Curitiba	Atlético Paranaense-PR	Grêmio-RS	PR	RS	0	16/09	Couto Pereira	21h00	13619	100		13619	1	2	Rodrigo D'Alonso Ferreira-SC	N	280500	31793.83	2015	26	0	0	1	1	0	0	10	3	8	3	0
Heber Roberto Lopes-SC	S	S	S	Kléber Lúcio Gil-SC_e_Fabrício Vilarinho da Silva-GO	Santos	Santos-SP	Atlético Mineiro-MG	SP	MG	0	16/09	Vila Belmiro	22h00	7326	84.3		6179	4	0	Rodolpho Toski Marques-PR	N	235610	49506.85	2015	26	1	0	0	0	0	1	6	2	7	2	0
Jaílson Macedo Freitas-BA	N	N	N	Fabiano da Silva Ramires-ES_e_Marcos W. Rocha de Amorim-BA	Porto Alegre	Internacional-RS	Corinthians-SP	RS	SP	0	16/09	Beira-Rio	22h00	19073	100		19073	2	1	Arilson Bispo da Anunciação-BA	N	471610	285169.81	2015	26	1	0	0	0	0	1	9	1	10	1	0
Thiago Duarte Peixoto-SP	N	N	N	Rogério Pablos Zanardo-SP_e_Herman Brumel Vani-SP	Belo Horizonte	Cruzeiro-MG	Vasco-RJ	MG	RJ	0	16/09	Mineirão	22h00	19888	100		19888	2	2	Vinícius Furlan-SP	N	518245	-12219.64	2015	26	0	1	0	0	1	0	13	20	12	20	0
Elmo Alves Resende Cunha-GO	N	N	N	Jesmar Benedito Miranda de Paula-GO_e_Evandro Gomes Ferreira-GO	São Paulo	São Paulo-SP	Chapecoense-SC	SP	SC	0	17/09	Morumbi	19h30	22196	74.1		16442	0	0	Rodrigo Batista Raposo-DF	N	393461	198474.46	2015	26	0	1	0	0	1	0	5	15	5	15	0
Marielson Alves Silva-BA	N	S	N	Cleriston Clay Barreto Rios-SE_e_Elicarlos Franco de Oliveira-BA	Brasília	Flamengo-RJ	Coritiba-PR	RJ	PR	0	17/09	Mané Garrincha	21h00	67011	100		67011	0	2	Sávio Sampaio-DF	N	3995500	1230234.75	2015	26	0	0	1	1	0	0	6	16	5	16	0
Wilton Pereira Sampaio-GO	S	N	N	Carlos Berkenbrock-SC_e_Bruno Pires-GO	São Paulo	Palmeiras-SP	Grêmio-RS	SP	RS	0	19/09	Pacaembu	18h30	21257	100		21257	3	2	Jaílson Macedo Freitas-BA	N	971475	529249.37	2015	27	1	0	0	0	0	1	3	4	4	3	1
Nielson Nogueira Dias-PE	N	N	N	Clóvis Amaral da Silva-PE_e_Albino Andrade Albert Júnior-PE	Porto Alegre	Internacional-RS	Figueirense-SC	RS	SC	0	19/09	Beira-Rio	18h30	16631	100		16631	1	1	Gilberto Rodrigues Castro Júnior-PE	N	389720	216493.09	2015	27	0	1	0	0	1	0	8	18	9	18	1
André Luiz de Freitas Castro-GO	N	S	N	Bruno Boschilla-PR_e_Cristhian Passos Sorence-GO	Campinas	Ponte Preta-SP	Fluminense-RJ	SP	RJ	0	19/09	Moisés Lucarelli	21h00	8526	58.7		5007	3	1	Elmo Alves Resende Cunha-GO	N	96720	21327.1	2015	27	1	0	0	0	0	1	10	14	11	11	1
Flávio Rodrigues Guerra-SP	N	N	N	Rogério Pablos Zanardo-SP_e_Alex Ang Ribeiro-SP	São Paulo	Corinthians-SP	Santos-SP	SP	SP	1	20/09	Arena Corinthians	11h00	41748	100		41748	2	0	Thiago Duarte Peixoto-SP	N	2649100	1711270.79	2015	27	1	0	0	0	0	1	1	5	1	6	1
Raphael Claus-SP	S	S	N	Guilherme Dias Camilo-MG_e_Fábio Rogério Baesteiro-SP	Goiânia	Goiás-GO	Joinville-SC	GO	SC	0	20/09	Serra Dourada	11h00	3488	100		3488	3	0	Flávio Rodrigues de Souza-SP	N	46935	16157.71	2015	27	1	0	0	0	0	1	13	18	13	18	1
Heber Roberto Lopes-SC	S	S	N	Kléber Lúcio Gil-SC_e_Márcio Eustáquio Santiago-MG	Rio de Janeiro	Vasco-RJ	Sport-PE	RJ	PE	0	20/09	Maracanã	16h00	19714	97		19128	2	1	Bráulio da Silva Machado-SC	N	591020	74681.79	2015	27	1	0	0	0	0	1	20	9	20	8	1
Sandro Meira Ricci-SC	N	S	S	Emerson Augusto de Carvalho-SP_e_Marcelo Carvalho Van Gasse-SP	Belo Horizonte	Atlético Mineiro-MG	Flamengo-RJ	MG	RJ	0	20/09	Independência	16h00	20505	98.5		20203	4	1	Rodrigo D'Alonso Ferreira-SC	N	951860	32729.79	2015	27	1	0	0	0	0	1	2	7	2	6	1
