unidade,pib2010,capita2010,pib2011,capita2011,pib2012,capita2012,pib2013,capita2013
São Carlos do Ivaí,120082,18904.6,144691,22646.97,156894,24430.74,175545,26326.42
São Jerônimo da Serra,85004,7498.61,127921,11314.42,133391,11830.68,164508,14196.44
São João,175633,16558.2,250798,23765.55,310884,29585.5,430122,39911.09
São João do Caiuá,64402,10898.94,74362,12607.94,75765,12876.46,88630,14647.21
São João do Ivaí,120862,10488.72,141626,12426.59,177425,15738.9,210651,18379.79
São João do Triunfo,218304,15929.96,216063,15653.36,257141,18500.65,290501,20087.17
São Jorge d'Oeste,114265,12577.34,143513,15826.27,161743,17868.22,194112,20843.09
São Jorge do Ivaí,131427,23861.06,161018,29212.34,179590,32617.16,219911,38778.22
São Jorge do Patrocínio,51413,8502.23,58099,9686.43,65602,11014.37,99873,16404.9
São José da Boa Vista,66185,10165.05,82169,12688.24,90326,14023.66,118679,17992.6
São José das Palmeiras,38810,10130.64,43675,11463.28,41034,10829.89,60832,15678.42
São José dos Pinhais,17312624,65705.55,20768763,77262.44,22363429,81840.88,25238577,87697.29
São Manoel do Paraná,21983,10478.15,29158,13884.64,29374,13974.53,30514,14061.69
São Mateus do Sul,570439,13826.48,655912,15760.67,770412,18358.45,1051391,24031.8
São Miguel do Iguaçu,544278,21132.9,653560,25261.3,679342,26157.71,858151,31877.82
São Pedro do Iguaçu,85716,13203.29,95790,14895.06,98688,15485.33,141695,21816.08
São Pedro do Ivaí,171481,16871.46,200251,19592.16,213463,20781.03,225907,21184.03
São Pedro do Paraná,27740,11122.66,32550,13162.17,45920,18712.33,56385,22500.02
São Sebastião da Amoreira,90857,10529.27,114587,13274.71,136392,15789.78,166728,18697.81
São Tomé,87076,16278.85,101704,18928.8,104468,19363.91,135032,24134.35
Sapopema,51223,7604.37,56507,8401.32,62723,9339.36,75638,10942.98
Sarandi,728798,8797.44,829103,9902.81,969691,11465.72,1169810,13238.38
Saudade do Iguaçu,754413,150671.68,752894,148763.97,771625,151536.77,857863,162074.95
Sengés,253456,13767.28,283410,15350.15,310117,16753.14,346013,18064.82
Serranópolis do Iguaçu,103750,22712.35,115225,25296.41,121185,26675.03,169602,36340.72
Sertaneja,135444,23284.13,178820,31029,196616,34427.54,246396,42336.05
Sertanópolis,279659,17884.42,343234,21895.5,437185,27823.14,510386,31398.68
Siqueira Campos,227385,12327.08,265344,14232.92,287488,15271.61,350345,17819.3
Sulina,38919,11466.98,48259,14388.38,53398,16108.13,75519,22435.77
Tamarana,152404,12459.43,184714,14826.9,211715,16740.3,239053,17976.63
Tamboara,56242,12058.72,64105,13651.03,76121,16106.88,81841,16651.23
Tapejara,228953,15681.73,271369,18445.41,312382,21075.54,355501,23033.6
Tapira,55793,9563.45,63913,11015.64,70325,12190.14,87504,14816.1
Teixeira Soares,122677,11937.06,153437,14691.42,188457,17780.69,235303,21122.33
Telêmaco Borba,1813545,25953.02,1961574,27809.94,2020354,28385.33,2295901,30912.9
Terra Boa,181863,11516.88,230198,14510.72,267842,16794.7,296746,17917.27
Terra Rica,161864,10609.86,208050,13570.55,217354,14080.05,258685,16104.39
Terra Roxa,323473,19296.86,385878,22975.79,373794,22211.31,534333,30705.29
Tibagi,387754,20057.62,476794,24559.28,587057,30133.29,784101,38847.67
Tijucas do Sul,216250,14887.13,227923,15492.29,283933,19080.26,362860,23297.57
Toledo,2448441,20514.28,2866156,23700.16,3292654,26878.37,3959560,30826.17
Tomazina,101605,11561.77,102790,11809.52,118358,13732.2,133752,15240.68
Três Barras do Paraná,160085,13539.01,186964,15810.88,191423,16188.02,252895,20735.86
Tunas do Paraná,53317,8519.76,62618,9693.13,82640,12415.9,88324,12392.94
Tuneiras do Oeste,92038,10582.74,98519,11361.93,120932,13985.47,152966,17212.33
Tupãssi,145045,18137.45,171279,21420.55,190537,23835.02,257710,31264.15
Turvo,202467,14631.26,222305,16206.57,238882,17528.76,279772,20074.04
Ubiratã,334362,15506.99,424891,19781.7,536871,25085.11,654364,29783.1
Umuarama,1471637,14611.75,1710255,16859.27,2182048,21354.1,2456840,23093.43
União da Vitória,730047,13838.98,792748,14940.87,862443,16159.09,1023681,18455.67
Uniflor,28659,11626.21,36800,14874.54,42544,17140.82,49660,19322.88
Uraí,107954,9410.17,132011,11538.4,156737,13735.63,184089,15695.16
Ventania,149822,15031.81,168157,16639.35,193536,18883.39,232388,21591.39
Vera Cruz do Oeste,110904,12359.77,127902,14337.13,132792,14969.22,197083,21702.8
Verê,102924,13063.12,123620,15820.38,136666,17632.11,190501,24080.52
Virmond,53466,13535.65,134570,34059.75,62497,15817.91,84360,20701.95
Vitorino,134378,20644.96,177739,27214.67,194430,29693.09,304364,44924.56
Wenceslau Braz,194388,10075.04,225626,11703.83,268244,13928.26,330317,16650.7
Xambrê,42278,7033.45,46508,7783.74,54568,9188.15,64589,10628.4
   Santa Catarina,153730336,24598.11,174046783,27551.89,191635751,30021.49,214217274,32289.58
Abdon Batista,34703,13080.65,46015,17403.45,59505,22582.49,61741,23246.02
Abelardo Luz,440957,25786.97,675921,39410,687580,39975.59,762120,43341.7
Agrolândia,165895,17784.68,180866,19159.53,188647,19749.5,219690,22063.88
Agronômica,84513,17244.07,88050,17773.51,96837,19425.69,118681,22946.88
Água Doce,199101,28606.48,199174,28571.75,200473,28725.18,245357,34508.78
Águas de Chapecó,161450,26428.21,117619,19168.72,123933,20118.93,85197,13495.45
Águas Frias,45740,18869.47,49756,20585.81,112704,46784.38,117203,48231.69
Águas Mornas,108750,19608.68,104959,18682.66,119683,21052.48,148963,25137.28
Alfredo Wagner,130477,13865.76,126039,13333.19,136404,14367.42,162333,16671.8
Alto Bela Vista,32105,16012.71,35709,17872.34,35833,17997.64,40085,19972.58
Anchieta,109203,17121.86,124076,19622.94,147446,23889.53,163549,26614.94
Angelina,73863,14069.05,67460,12948.12,73082,14133.01,96213,18624.35
Anita Garibaldi,75851,8792.31,90313,10628.8,89418,10678.07,94782,11516.66
Anitápolis,38360,11935.31,38277,11913.06,39195,12206.55,54976,16869.1
Antônio Carlos,296475,39768.61,253825,33677.13,318700,41862.56,481763,60936.38
Apiúna,231439,24095.66,307049,31710.09,330624,33861.57,293474,29059.73
Arabutã,69078,16474.72,69047,16455.37,74511,17749.18,88047,20619.79
Araquari,533378,21495.04,691289,26731.99,831751,30948.88,1002590,33879.31
Araranguá,996416,16244.42,1210044,19574.62,1246331,20002.74,1337229,20762.81
Armazém,81227,10508.02,88621,11331.21,106787,13541.35,136020,16671.17
Arroio Trinta,49605,14172.84,68746,19624.95,65684,18745.31,82942,23285.22
Arvoredo,37468,16608.11,45253,20050.02,36659,16264.06,53489,23449.71
Ascurra,109708,14787.47,121610,16325.67,175425,23436.92,218751,28472.07
Atalanta,57481,17418.62,54034,16418.58,68127,20764.2,106283,32109.79
Aurora,83032,14955.4,81759,14718,105092,18898.02,129899,22946.32
Balneário Arroio do Silva,84372,8797.92,106390,10792.24,113001,11165.02,125517,11540.71
Balneário Barra do Sul,98144,11652,109586,12722,126153,14350,145369,15580.84
Balneário Camboriú,2751634,25452.88,3074584,27761.98,3385273,29873.83,3882423,32105.78
Balneário Gaivota,68829,8348.93,76235,9023.99,82723,9557.83,106313,11482.13
Balneário Piçarras,284468,16660.89,362405,20647.5,325359,18065.47,467142,24167.92
Balneário Rincão,,,,,,,131339,11295.02
Bandeirante,27570,9487.15,32309,11195.09,32432,11316.05,41673,14545.68
Barra Bonita,24323,12951.6,24815,13341.5,25498,13760.55,30437,16523.66
Barra Velha,364470,16268.78,699286,30519.19,934540,39900.09,995737,39920.51
Bela Vista do Toldo,98755,16448.13,95660,15874.51,109252,18067.13,154360,24932.97
Belmonte,27131,10296.34,31247,11840.55,32710,12376.07,43639,16210.77
Benedito Novo,136224,13185.93,150423,14416.59,160700,15264.01,173172,15878.63
Biguaçu,942455,16182.83,1126526,19098.85,1273783,21323.55,1385703,22212.83
Blumenau,9898662,32012.33,11003990,35197.56,12007957,37983.16,12893271,39179.51
Bocaina do Sul,46254,14059.02,53485,16192.76,44222,13344.14,54792,16148.57
Bom Jardim da Serra,56187,12769.7,69634,15754.29,70521,15872.33,77948,17071.46
Bom Jesus,43047,17041.49,58105,22670.7,61711,23744.08,71529,26287.8
Bom Jesus do Oeste,64100,30065.75,72716,34122.84,75542,35465.66,100854,46691.86
Bom Retiro,147749,16523.03,165437,18347.25,179214,19715.51,227361,24195.05
Bombinhas,285336,19936.86,289090,19636.62,332736,21983.12,377357,23135.14
Botuverá,103200,23097.67,107069,23651.17,118604,25873.44,172458,36041.44
Braço do Norte,472463,16281.71,530710,18081.51,610390,20571.25,767245,24855.68
Braço do Trombudo,109308,31619.38,138513,39825.51,140509,40168.5,151524,42101.65
Brunópolis,41127,14420.44,50736,18029.86,63813,22970.9,51083,18636.76
Brusque,3335717,31619.67,3622928,33619.1,3923768,35686.84,4391278,37650.07
